object,action,provider,event_id,channel,tier,builds,already_mapped,verify,pass,method,message,fields
authentication,error,LsaSrv,200,Operational,log,W11+W2022,False,ok,uncapped,sweep,ipal Name: {PrincipalName}Server Name: {ServerName}Package Name: {PackageName}Call Type: {UserName}0Error Code: {UserName}1,"{DomainName, LogoffTime, LogonId, PID, PackageName, PrincipalName, Program, ServerName, UserName}"
authentication,error,LsaSrv,6040,System,log,W11+W2022,False,ok,sweep,sweep,An authentication request for package {Package} was rejected because the target information was invalid. The authentication,"{Package, TargetName}"
authentication,error,LsaSrv,40960,System,log,W11+W2022,False,ok,sweep,both,The Security System detected an authentication error for the server {Target}. The failure code from authentication protocol {Protocol} was {Error}.,"{Error, Protocol, Target}"
authentication,error,LsaSrv,40970,System,log,W2022,False,ok,sweep,sweep,The Security System has detected a downgrade attempt when contacting the 3-part SPN {Target} with error code {Error}. Authentication was denied.,"{Error, Target}"
authentication,error,LsaSrv,45057,System,log,W11+W2022,False,ok,sweep,sweep,on cache entry for user {Username} to be deleted. The authentication package was {Package}; and the error message was {Error}.,"{Error, Package, Username}"
authentication,error,Microsoft-Windows-AAD,1250,Microsoft-Windows-AAD/Operational,log,W11+W2022,False,ok,uncapped,sweep,oint Uri: {EndpointUri}HTTP Status: {Method}HTTP Method: {HTTPTransportError}ErrorCode: {HTTPStatus}Error Description: {ErrorCode},"{CorrelationID, CredentialType, EndpointUri, ErrorCode, HTTPStatus, HTTPTransportError, Method, Result, UserIdentity}"
authentication,error,Microsoft-Windows-AAD,1251,Microsoft-Windows-AAD/Operational,log,W11+W2022,False,ok,uncapped,sweep,oint Uri: {EndpointUri}HTTP Status: {Method}HTTP Method: {HTTPTransportError}ErrorCode: {HTTPStatus}Error Description: {ErrorCode},"{CorrelationID, CredentialType, EndpointUri, ErrorCode, HTTPStatus, HTTPTransportError, Method, Result, UserIdentity}"
authentication,error,Microsoft-Windows-AAD,1252,Microsoft-Windows-AAD/Operational,log,W11+W2022,False,ok,uncapped,sweep,t Uri: {CorrelationID}HTTP Status: {EndpointUri}HTTP Method: {Method}ErrorCode: {HTTPTransportError}Error Description: {HTTPStatus},"{CorrelationID, CredentialType, EndpointUri, HTTPStatus, HTTPTransportError, Method, NewToken, Result, UserIdentity}"
authentication,error,Microsoft-Windows-AAD,1253,Microsoft-Windows-AAD/Operational,log,W11+W2022,False,ok,uncapped,sweep,t Uri: {CorrelationID}HTTP Status: {EndpointUri}HTTP Method: {Method}ErrorCode: {HTTPTransportError}Error Description: {HTTPStatus},"{CorrelationID, CredentialType, EndpointUri, HTTPStatus, HTTPTransportError, Method, NewToken, Result, UserIdentity}"
authentication,error,Microsoft-Windows-Biometrics,1403,Microsoft-Windows-Biometrics/Operational,log,W11+W2022,False,ok,uncapped,sweep,ows Fingerprint Credential Provider has disabled biometric authentication.The operation failed with error: {ErrorCode}.,{ErrorCode}
authentication,error,Microsoft-Windows-CertificateServicesClient-CertEnroll,3260678236,,etw,W11+W2022,False,ok,uncapped,sweep,Logon Certificate Request creation for {Context} failed for the {Template} template for key {Key}{MessageText}Process: {Proce,"{Context, ErrorCode, Key, MessageText, Process, Template}"
authentication,error,Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,3,Admin,log,W11+W2022,False,ok,uncapped,sweep,MDM Enroll: Certificate Authentication was requested; but failed sign the server request. Result: ({HRESULT}).,{HRESULT}
authentication,error,Microsoft-Windows-DistributedCOM,10004,,etw,W11+W2022,False,ok,uncapped,sweep,DCOM got error '{param1}' and was unable to logon {param2}\{param3} in order to run the server:{param4},"{param1, param2, param3, param4}"
authentication,error,Microsoft-Windows-EFS,4422,Microsoft-Windows-EFS/Operational,log,W11,False,ok,uncapped,sweep,Failed to unprotect device user credential key using Windows Hello for user: {Param1}. Error code: {Param2},"{Param1, Param2}"
authentication,error,Microsoft-Windows-EapMethods-RasChap,101,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,Authentication failed for user {Domain}; in domain {Username}; with error {int1}.,"{Domain, Username, int1}"
authentication,error,Microsoft-Windows-EapMethods-RasTls,101,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,Authentication failed for EAP method type {uint1}. The error was {uint2}.,"{uint1, uint2}"
authentication,error,Microsoft-Windows-EapMethods-RasTls,102,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,Authentication failed for EAP method type {uint1} due to a revoked certificate. The error was {uint2}.,"{uint1, uint2}"
authentication,error,Microsoft-Windows-EapMethods-RasTls,103,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,Authentication failed for EAP method type {uint1} due to an expired certificate. The error was {uint2}.,"{uint1, uint2}"
authentication,error,Microsoft-Windows-EapMethods-RasTls,104,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,thod type {uint1} because the certificate chain was issued by an authority that is not trusted. The error was {uint2}.,"{uint1, uint2}"
authentication,error,Microsoft-Windows-EapMethods-Sim,101,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,{Method Name}: Authentication was terminated by the client; reason: {Error Cause},{}
authentication,error,Microsoft-Windows-EapMethods-Sim,102,Operational Channel,log,W11+W2022,False,ok,uncapped,sweep,{Method Name}: Authentication was terminated by the server; reason: {Error Cause},{}
authentication,error,Microsoft-Windows-HelloForBusiness,6066,Microsoft-Windows-HelloForBusiness/Operational,log,W11+W2022,False,ok,uncapped,sweep,to enroll for a logon certificate. Automatic certificate enrollment will retry at regular intervals.Error: {Error}Processing time: {ProcessingTime} seconds,"{Error, ProcessingTime}"
authentication,error,Microsoft-Windows-HelloForBusiness,7001,Microsoft-Windows-HelloForBusiness/Operational,log,W11,False,ok,uncapped,both,e}Deployment Type: {DeploymentType}Software Lockout Counter: {SoftwareLockoutCounter}Authentication Error Status: {AuthenticationErrorStatus}Authentication Error Substatus: {AuthenticationErrorSubStat,"{AuthenticationErrorStatus, AuthenticationErrorSubStatus, CredentialType, DeploymentType, SoftwareLockoutCounter, UserName, UserSid}"
authentication,error,Microsoft-Windows-HelloForBusiness,7520,Microsoft-Windows-HelloForBusiness/Operational,log,W11+W2022,False,ok,uncapped,both,Failed to authenticate the user's credential.Error: {ErrorText} ({Error})Correlation vector: {CorrelationVector}Processing time: {ProcessingTime} mill,"{CorrelationVector, Error, ErrorText, ProcessingTime}"
authentication,error,Microsoft-Windows-HttpEvent,3221240488,,etw,W11+W2022,False,ok,uncapped,sweep,the security package {SecurityPackage} for server side authentication. The data field contains the error number.,{SecurityPackage}
authentication,error,Microsoft-Windows-Immersive-Shell,7219,Microsoft-Windows-TWinUI/Diagnostic,log,W11+W2022,False,ok,uncapped,both,Authentication failed - Error Code: 0x{ErrorResult}.,{ErrorResult}
authentication,error,Microsoft-Windows-Immersive-Shell,7263,Microsoft-Windows-TWinUI/Diagnostic,log,W11+W2022,False,ok,uncapped,sweep,Authentication failed in getting the token- Error Code: 0x{ErrorResult}.,{ErrorResult}
authentication,error,Microsoft-Windows-MPRMSG,20016,,etw,W11+W2022,False,ok,uncapped,sweep,The user connected to port {param1} has been disconnected because there was a transport-level error during the authentication conversation.,{param1}
authentication,error,Microsoft-Windows-MPRMSG,20051,,etw,W11+W2022,False,ok,uncapped,sweep,The user connected to port {param1} has been disconnected because an internal authentication error occurred.,{param1}
authentication,error,Microsoft-Windows-MPRMSG,20094,,etw,W11+W2022,False,ok,uncapped,sweep,user connected to port {param1} has been disconnected because the following internal authentication error occurred in the third party security module: {param2},"{param1, param2}"
authentication,error,Microsoft-Windows-NTLM,100,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,log,W11+W2022,False,ok,uncapped,sweep,ccount was a member of the Protected User group.Account Name: {AccountName}Device Name: {DeviceName}Error Code: {Status},"{AccountName, DeviceName, Status}"
authentication,error,Microsoft-Windows-NTLM,101,Microsoft-Windows-Authentication/AuthenticationPolicyFailures-DomainController,log,W11+W2022,False,ok,uncapped,sweep,ecause access control restrictions are required.Account Name: {AccountName}Device Name: {DeviceName}Error Code: {Status}Authentication Policy Information: Silo Name: {SiloName} PolicyName: {PolicyName,"{AccountName, DeviceName, PolicyName, SiloName, Status}"
